videoName,contentIndex,sourceSpatialResolution,sourceFrameRate,processedSpatialResolution,processedFrameRateRatio,bitrate,bitrateLevel
Tunnel_2160p_60hz_q_37,14,2160,60,2160,1,9.4,2
Tunnel_2160p_60hz_q_41,14,2160,60,2160,1,5.99,3
Tunnel_2160p_60hz_q_47,14,2160,60,2160,1,3.2,4
Tunnel_2160p_60hz_q_51,14,2160,60,2160,1,2.39,5
Tunnel_540p_30hz_q_23,14,2160,60,540,0.5,9.29,2
Tunnel_540p_30hz_q_27,14,2160,60,540,0.5,5.62,3
Tunnel_540p_30hz_q_33,14,2160,60,540,0.5,2.61,5
Tunnel_540p_60hz_q_25,14,2160,60,540,1,9.1,2
Tunnel_540p_60hz_q_29,14,2160,60,540,1,5.25,3
Tunnel_540p_60hz_q_35,14,2160,60,540,1,2.48,5
Tunnel_720p_30hz_q_25,14,2160,60,720,0.5,9.98,2
Tunnel_720p_30hz_q_29,14,2160,60,720,0.5,5.83,3
Tunnel_720p_30hz_q_37,14,2160,60,720,0.5,2.15,5
Tunnel_720p_60hz_q_27,14,2160,60,720,1,9.71,2
Tunnel_720p_60hz_q_31,14,2160,60,720,1,5.62,3
Tunnel_720p_60hz_q_39,14,2160,60,720,1,2.17,5
Yacht_1080p_120hz_q_33,15,2160,120,1080,1,14.16,2
Yacht_1080p_120hz_q_37,15,2160,120,1080,1,7.26,3
Yacht_1080p_120hz_q_43,15,2160,120,1080,1,2.33,5
Yacht_1080p_60hz_q_29,15,2160,120,1080,0.5,17.01,2
Yacht_1080p_60hz_q_35,15,2160,120,1080,0.5,7.14,3
Yacht_1080p_60hz_q_41,15,2160,120,1080,0.5,2.56,5
Yacht_2160p_120hz_q_31,15,2160,120,2160,1,48.1,1
Yacht_2160p_120hz_q_39,15,2160,120,2160,1,15.07,2
Yacht_2160p_120hz_q_43,15,2160,120,2160,1,7.82,3
Yacht_2160p_120hz_q_47,15,2160,120,2160,1,3.83,4
Yacht_2160p_120hz_q_51,15,2160,120,2160,1,2.23,5
Yacht_2160p_60hz_q_37,15,2160,120,2160,0.5,13.83,2
Yacht_2160p_60hz_q_41,15,2160,120,2160,0.5,7.69,3
Yacht_2160p_60hz_q_45,15,2160,120,2160,0.5,4.01,4
Yacht_2160p_60hz_q_49,15,2160,120,2160,0.5,2.01,5
Yacht_540p_120hz_q_25,15,2160,120,540,1,17.06,2
Yacht_540p_120hz_q_31,15,2160,120,540,1,6.63,3
Yacht_540p_120hz_q_37,15,2160,120,540,1,2.09,5
Yacht_540p_60hz_q_23,15,2160,120,540,0.5,14.58,2
Yacht_540p_60hz_q_27,15,2160,120,540,0.5,8.55,3
Yacht_540p_60hz_q_35,15,2160,120,540,0.5,2.33,5
Yacht_720p_120hz_q_29,15,2160,120,720,1,14.63,2
Yacht_720p_120hz_q_33,15,2160,120,720,1,7.56,3
Yacht_720p_120hz_q_39,15,2160,120,720,1,2.4,5
Yacht_720p_60hz_q_25,15,2160,120,720,0.5,16.92,2
Yacht_720p_60hz_q_31,15,2160,120,720,0.5,7.31,3
Yacht_720p_60hz_q_37,15,2160,120,720,0.5,2.65,5
